trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,pnl_dollars,exit_reason,session,day_of_week,prior_4h_direction,atr_at_entry,holding_bars,sample
T838,2020-02-19 15:00:00,2020-02-19 22:00:00,LONG,1.08113,1.07969,-14.399999999998858,-32.11199999999746,time_stop,NY,Wednesday,BULL,0.0009319640428918358,7,IS
T863,2020-02-20 16:00:00,2020-02-20 23:00:00,SHORT,1.07825,1.07946,-12.100000000001554,-38.417500000004935,time_stop,NY,Thursday,BEAR,0.001058375815771041,7,IS
T881,2020-02-21 10:00:00,2020-02-23 17:00:00,LONG,1.0853899999999999,1.08296,-24.299999999999322,-20.33909999999943,time_stop,LONDON,Friday,BULL,0.0012557767932535528,55,IS
T930,2020-02-25 11:00:00,2020-02-25 18:00:00,LONG,1.08694,1.08797,10.300000000000864,13.070700000001098,time_stop,LONDON,Tuesday,BULL,0.0013313306029936515,7,IS
T983,2020-02-27 16:00:00,2020-02-27 23:00:00,LONG,1.10011,1.09941,-6.999999999999229,-14.251999999998432,time_stop,NY,Thursday,BULL,0.001594475807620681,7,IS
T1006,2020-02-28 15:00:00,2020-03-01 22:00:00,LONG,1.10391,1.10524,13.300000000000534,13.007400000000523,time_stop,NY,Friday,BULL,0.002062623306088682,55,IS
T1031,2020-03-02 16:00:00,2020-03-02 23:00:00,SHORT,1.11318,1.11444,-12.600000000000389,-11.65500000000036,time_stop,NY,Monday,BEAR,0.002410208924047601,7,IS
T1049,2020-03-03 10:00:00,2020-03-03 17:00:00,LONG,1.11809,1.11699,-11.000000000001009,-6.193000000000569,time_stop,LONDON,Tuesday,BULL,0.0024942911052656096,7,IS
T1098,2020-03-05 11:00:00,2020-03-05 18:00:00,LONG,1.1203,1.12224,19.399999999998307,36.239199999996835,time_stop,LONDON,Thursday,BULL,0.0018735743646835696,7,IS
T1127,2020-03-06 16:00:00,2020-03-08 16:00:00,SHORT,1.12791,1.1347500000000001,-68.4000000000018,-82.55880000000217,stop_loss,NY,Friday,BEAR,0.0025448973555977326,48,IS
