trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,pnl_dollars,exit_reason,session,day_of_week,prior_4h_direction,atr_at_entry,holding_bars,sample
T526,2020-01-31 15:00:00,2020-02-03 09:00:00,LONG,1.10917,1.1046799999999999,-44.90000000000105,-211.25450000000495,turtle_exit,NONE,Friday,NA,0.0009577340324377567,66,IS
T597,2020-02-05 14:00:00,2020-02-14 08:00:00,SHORT,1.09947,1.08556,139.09999999999866,751.1399999999928,turtle_exit,NONE,Wednesday,NA,0.0008013187336953233,210,IS
T794,2020-02-17 19:00:00,2020-02-19 15:00:00,SHORT,1.0824500000000001,1.08105,14.000000000000679,90.8740000000044,turtle_exit,NONE,Monday,NA,0.000706905131265378,44,IS
T1102,2020-03-05 15:00:00,2020-03-10 00:00:00,LONG,1.12293,1.1340899999999998,111.59999999999836,282.90599999999586,turtle_exit,NONE,Thursday,NA,0.001991754092374556,105,IS
T1443,2020-03-25 19:00:00,2020-03-27 07:00:00,LONG,1.09228,1.0985399999999998,62.59999999999932,107.92239999999882,turtle_exit,NONE,Wednesday,NA,0.003059603831553271,36,IS
T1484,2020-03-27 12:00:00,2020-03-31 04:00:00,LONG,1.10995,1.0978199999999998,-121.30000000000196,-204.2692000000033,turtle_exit,NONE,Friday,NA,0.003168102145959168,88,IS
T1579,2020-04-02 13:00:00,2020-04-07 00:00:00,SHORT,1.0824500000000001,1.0826600000000002,-2.100000000000435,-4.183200000000866,turtle_exit,NONE,Thursday,NA,0.0026102005778880595,107,IS
T1773,2020-04-14 15:00:00,2020-04-15 03:00:00,LONG,1.0987,1.0929,-58.00000000000027,-190.7040000000009,turtle_exit,NONE,Tuesday,NA,0.0015393662649769012,12,IS
T1914,2020-04-22 12:00:00,2020-04-24 10:00:00,SHORT,1.0814300000000001,1.0814100000000002,0.1999999999990898,0.6313999999971265,turtle_exit,NONE,Wednesday,NA,0.0015770723104068147,46,IS
T2234,2020-05-11 20:00:00,2020-05-12 07:00:00,SHORT,1.0791,1.08491,-58.100000000000925,-221.30290000000355,turtle_exit,NONE,Monday,NA,0.0012895864392380115,11,IS
T2492,2020-05-26 14:00:00,2020-06-05 08:00:00,LONG,1.09951,1.1294899999999999,299.79999999999893,1109.8595999999961,turtle_exit,NONE,Tuesday,NA,0.0012999385502301154,234,IS
T2756,2020-06-10 14:00:00,2020-06-11 13:00:00,LONG,1.13922,1.1317599999999999,-74.60000000000022,-186.35080000000056,turtle_exit,NONE,Wednesday,NA,0.0021990032985364913,23,IS
T2803,2020-06-12 13:00:00,2020-06-15 09:00:00,SHORT,1.12227,1.12779,-55.19999999999969,-124.6415999999993,turtle_exit,NONE,Friday,NA,0.002402865979929476,68,IS
T2898,2020-06-18 12:00:00,2020-06-19 08:00:00,SHORT,1.1192,1.12383,-46.30000000000134,-132.92730000000387,turtle_exit,NONE,Thursday,NA,0.0018457517038635589,20,IS
T2952,2020-06-22 18:00:00,2020-06-24 09:00:00,LONG,1.1274,1.12662,-7.800000000000029,-28.384200000000106,turtle_exit,NONE,Monday,NA,0.0014156794848754059,39,IS
T3336,2020-07-14 18:00:00,2020-07-16 05:00:00,LONG,1.141,1.1380299999999999,-29.700000000001392,-112.32540000000526,turtle_exit,NONE,Tuesday,NA,0.001354353535666956,35,IS
T3450,2020-07-21 12:00:00,2020-07-23 08:00:00,LONG,1.15175,1.1541499999999998,23.999999999997357,67.60799999999256,turtle_exit,NONE,Tuesday,NA,0.0018348124665837663,44,IS
T3523,2020-07-24 13:00:00,2020-07-28 03:00:00,LONG,1.16419,1.17102,68.29999999999892,201.8264999999968,turtle_exit,NONE,Friday,NA,0.0017553990097239078,86,IS
T3595,2020-07-29 13:00:00,2020-07-31 12:00:00,LONG,1.17882,1.17906,2.4000000000001798,7.428000000000556,turtle_exit,NONE,Wednesday,NA,0.001703513438788255,47,IS
T3794,2020-08-10 20:00:00,2020-08-11 06:00:00,SHORT,1.17233,1.17913,-67.99999999999918,-238.06799999999708,turtle_exit,NONE,Monday,NA,0.0014951385969335848,10,IS
T3914,2020-08-17 20:00:00,2020-08-19 10:00:00,LONG,1.18918,1.18997,7.900000000000684,31.04700000000269,turtle_exit,NONE,Monday,NA,0.0012903369511702658,38,IS
T4436,2020-09-16 14:00:00,2020-09-17 11:00:00,SHORT,1.17983,1.18233,-25.000000000001688,-74.62500000000503,turtle_exit,NONE,Wednesday,NA,0.0017369484292570029,21,IS
T4538,2020-09-22 20:00:00,2020-09-28 05:00:00,SHORT,1.1679,1.1646400000000001,32.59999999999818,101.64679999999436,turtle_exit,NONE,Tuesday,NA,0.0016462379434909547,129,IS
T4890,2020-10-13 12:00:00,2020-10-14 08:00:00,SHORT,1.1733200000000001,1.1761700000000002,-28.500000000000192,-118.2180000000008,turtle_exit,NONE,Tuesday,NA,0.0012237221804397426,20,IS
T5134,2020-10-27 15:00:00,2020-10-30 07:00:00,SHORT,1.17937,1.1699700000000002,93.99999999999852,387.09199999999396,turtle_exit,NONE,Tuesday,NA,0.0012191631839538275,64,IS
T5259,2020-11-03 21:00:00,2020-11-05 02:00:00,SHORT,1.16179,1.17462,-128.29999999999896,-300.7351999999976,turtle_exit,NONE,Tuesday,NA,0.0023039473951191975,29,IS
T5451,2020-11-15 21:00:00,2020-11-16 08:00:00,LONG,1.1851099999999999,1.18204,-30.69999999999906,-138.57979999999577,turtle_exit,NONE,Sunday,NA,0.0011125387564328774,11,IS
T5714,2020-12-01 15:00:00,2020-12-04 15:00:00,LONG,1.20732,1.2126599999999998,53.399999999999004,182.4677999999966,turtle_exit,NONE,Tuesday,NA,0.0014832407913027824,72,IS
T6185,2020-12-29 20:00:00,2020-12-31 10:00:00,LONG,1.22919,1.2238099999999998,-53.800000000001624,-189.80640000000574,turtle_exit,NONE,Tuesday,NA,0.0014591802428060578,38,IS
T6226,2020-12-31 13:00:00,2021-01-04 04:00:00,SHORT,1.22153,1.2293800000000001,-78.50000000000134,-240.91650000000413,turtle_exit,NONE,Thursday,NA,0.0016617700320188944,87,IS
