timestamp,open,high,low,close,volume
1998-12-22T05:00:00Z,12.65625,12.734375,12.65625,12.734375,7400.0
1998-12-23T05:00:00Z,12.75,12.875,12.734375,12.789063453674316,24000.0
1998-12-24T05:00:00Z,12.96875,13.023438453674316,12.90625,13.023438453674316,3200.0
1998-12-28T05:00:00Z,12.960938453674316,12.96875,12.90625,12.90625,17200.0
1998-12-29T05:00:00Z,12.945313453674316,13.1875,12.945313453674316,13.1875,2200.0
1998-12-30T05:00:00Z,13.179688453674316,13.203125,13.078125,13.078125,63400.0
1998-12-31T05:00:00Z,13.078125,13.125,13.0625,13.0625,64800.0
1999-01-04T05:00:00Z,13.078125,13.265625,12.953125,12.984375,10400.0
1999-01-05T05:00:00Z,13.0625,13.203125,13.0625,13.203125,2600.0
1999-01-06T05:00:00Z,13.359375,13.578125,13.359375,13.578125,16200.0
1999-01-07T05:00:00Z,13.515625,13.65625,13.5,13.5625,27400.0
1999-01-08T05:00:00Z,13.640625,13.703125,13.554688453674316,13.578125,37200.0
1999-01-11T05:00:00Z,13.625,13.640625,13.398438453674316,13.507813453674316,126200.0
1999-01-12T05:00:00Z,13.304688453674316,13.34375,13.140625,13.15625,6600.0
1999-01-13T05:00:00Z,12.84375,13.21875,12.84375,13.21875,6800.0
1999-01-14T05:00:00Z,13.09375,13.15625,12.859375,12.921875,73200.0
1999-01-15T05:00:00Z,13.09375,13.101563453674316,13.023438453674316,13.085938453674316,69600.0
1999-01-19T05:00:00Z,13.234375,13.289063453674316,13.078125,13.078125,8200.0
1999-01-20T05:00:00Z,13.265625,13.421875,13.210938453674316,13.296875,7000.0
1999-01-21T05:00:00Z,13.265625,13.28125,13.140625,13.171875,63000.0
1999-01-22T05:00:00Z,12.96875,13.273438453674316,12.9375,13.234375,24600.0
1999-01-25T05:00:00Z,13.171875,13.234375,13.109375,13.203125,16200.0
1999-01-26T05:00:00Z,13.28125,13.515625,13.242188453674316,13.515625,7400.0
1999-01-27T05:00:00Z,13.53125,13.5625,13.5,13.5,3800.0
